current_time,title,time_location,price,picture_links_list,item_link
2023-03-09 20:34:57,💙Black Sectional Brand New 💙,"Listed in Houston, TX","$10
  · In stock","['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/312665649_5992776480784848_4571689119278738415_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-7&_nc_sid=c48759&_nc_ohc=O1BKUnfQLfMAX8fYicg&_nc_ht=scontent-dfw5-2.xx&oh=00_AfB24c_k6IZx9x4mCXOfHkML_lju-MznHCywIIw_Nj3u_A&oe=641047C7', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/314259725_5179476485489810_9090154483101638539_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=ofTO1_NCwTgAX8Zb1tr&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCSXg3R3l1AF2Cw_FrBOmYvyJ1iGP3Y5vRxojXYG1HbtA&oe=640FA2E7']",https://www.facebook.com/marketplace/item/1638866766534146/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:34:54,Beautiful sectional,"Listed 13 minutes ago in Houston, TX",$400,"['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333225155_8824278220976302_6613523287667843380_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=c48759&_nc_ohc=u0xL5sA8SBgAX8YC6iS&_nc_ht=scontent-dfw5-2.xx&oh=00_AfApx6i57OXe9f6F-zXjmpRpVrHWTKEhgXy6RkGEyDDJ6A&oe=640EB231', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334629230_9704909676201561_5107209894997304863_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=ZOSHYWP1cfMAX9AByC1&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBF8gB8hU9V75ewr8_-MYDbaXNCLUKuJi66aHQsKE3Zqw&oe=640F2D07', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/326435174_5924351487619132_986710444534189657_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_ohc=vjvDzLE6oawAX95BOS2&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBgGAgTC9fuiOO0lqeVLI95NsOkXYLT11bpRhPviJWu-A&oe=640EBBE8', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/334513301_5803309873124246_7642368520646017925_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=c48759&_nc_ohc=ufe91SglTVQAX8QOxW-&_nc_oc=AQm-_lAvjMlsSGNjjMtwPZ6lFJYFMTIJDXSytuecLhtZeSYfwq947xNnPn_haiWwxiU&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDaXjg5NsKuXyfQlqAmMqXdDXm5YywNxEVlBAUCjPO5Jw&oe=640FA82A', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/334465741_6577654262286795_6000970769654333142_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=frXiiklzwqoAX8gX2Es&_nc_oc=AQnuL96tqpqAn0lC9R-Q9AITbjYls_tbBEigHTcthuXjzsk7tlRnE9PhuL1bcza6xss&_nc_ht=scontent-dfw5-2.xx&oh=00_AfC4SiDm7UPCdUuOabCiwq40r_dVftgA1FI_v_6NITWlcg&oe=640F0E14', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333804452_5765829390194027_2151706222521683850_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=40aWnxAzm_AAX-v5-q4&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDhc05XpdmSHBxKrjslHOCpgX66PaKOpBA23awdLbUgEw&oe=640ED015']",https://www.facebook.com/marketplace/item/1460616684681027/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:34:51,Couch Set Brown,"Listed 8 minutes ago in Houston, TX",$80,"['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/318627236_5870893086336369_2127920604292236292_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_ohc=a8crP8HZgKsAX-43vHt&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAykUeK81QXwC3WjE_gof3SpJSc7PU3SX8EA8Zi_V_TAA&oe=640EBF5B', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/325848762_5994492793904709_415807716272686594_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=6Arov7FFk20AX8jyCBN&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBqxQEcLkGv02Dq7syNwksPUNKI61lsvM08WwT9GMz1rA&oe=640EF85A', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333397016_6014889405225876_515822128479494134_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=_5c02o0ftKAAX9epa15&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCKkiszEPLdec_8HLSXFDN3Ick0w1l_6hk3imagxj5iLw&oe=640F852B', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/325600094_5737900772913176_4509731033254149348_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_ohc=8n_EMVWpr54AX9mp-lY&_nc_ht=scontent-dfw5-2.xx&oh=00_AfClJU2qT2U9pHAOgXxN6ugcVsvmZBiiPV_qSZPPLMsDpg&oe=640F3253', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/324524676_6678001235549276_7653617540841862643_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=79NwJdWXJPYAX9Be_XQ&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDg7lKIRjWILGk7koI2ZSgEfhdRphaAiRJ2TQhdNjxAlQ&oe=640EFA1F']",https://www.facebook.com/marketplace/item/182307807908029/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:12:56,Media Room 6 Pc Sectional,"Listed 24 minutes ago in Spring, TX",$900,"['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332510676_8913179242086423_159224541139845494_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-7&_nc_sid=c48759&_nc_ohc=ef0H5Oz817AAX8MWf9K&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDJYnci4gjPB_eaXTj6sak18d6uTmA1llSeu4LhyGhTJQ&oe=640F1BB7', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332375499_8076166342504650_1119326877927563507_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=YiOMDEfEOaQAX9iWaYu&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAfVXSJu4P4eb0iW9t-04oDp9lh_01YnNU2X9Gez8mbnA&oe=641047BE', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333176500_6018341441567231_4109551320584331881_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=c48759&_nc_ohc=KtaMZ81nwpsAX-wrDvd&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBgCakDRiEB3fekH7kRUX-1eTtR8rlt5tymZ__HGMe_mw&oe=640F09F2', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/334653892_5842320869208399_8292173803960337345_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=0YYHO6JzCwEAX8eVNAf&_nc_ht=scontent-dfw5-2.xx&oh=00_AfANY-T4gWKW_PYTQ-wNSwfX2URhRl4KXizc6AYzTYwFvw&oe=640F18CD', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332574707_6684025648326484_7669497369464188585_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=c48759&_nc_ohc=KxWjwEYBKaUAX_TczIm&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBMf37aVxreoWx5lYh9sAGeO13sGA92TJNJFQ_n-JlxpA&oe=64103DA1', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/334496819_9692038020821742_8503921465942988583_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=c48759&_nc_ohc=Vccvxa3xLeMAX9t9y_l&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBUlHq5IWKA77RFuqo2ucx3H-aXXG7tXwAtcU5c1x3FVA&oe=64100A61', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332441676_6285759518109405_5815069247261732119_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=9eXfOjxWo5QAX-EHT2N&_nc_ht=scontent-dfw5-1.xx&oh=00_AfA-vmWtScyWOsImIbWZgbhFWi3Kjuxy40oxMrwJekJyYw&oe=640FD107', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333207053_6222756277816410_2619405355988054328_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=n0mfpyuAdiQAX_hV4tt&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAbfd-1-Xvdt7hfE_nJnMT3Z3-L8_lJmiIXCOYjmKC83w&oe=640EBBC4', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333846126_6396550473690277_6927228024645468981_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-7&_nc_sid=c48759&_nc_ohc=NkhBPcLBd8UAX-yCK3b&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAxlu8VmfSC_TeJFKaBukiyPfajTIvJdx6BMWNIAjysvg&oe=640F84BF', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333768901_6020023501427770_790777540035253827_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=cN3BGCcXGPwAX-6ekLK&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCdsFByprbMaNkNqA4xAbmXL06s_Mst3UQEsWCvrNr90A&oe=640FE141']",https://www.facebook.com/marketplace/item/1613873029386992/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:12:52,Sofa Set !!!!!! Free Delivery!!!!,"Listed 23 minutes ago in Houston, TX",$450,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332275639_6541805165842796_6534956241159585843_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=c48759&_nc_ohc=DqPlRq6kugIAX-dsDOj&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAu9HK4T95ygPeS4yFsal8wSF8M1ww6nmZBz-Ooks_4ng&oe=640F7247', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334612554_6089323057841306_7824336216290662454_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=lSnUyb9rlywAX_fzMzQ&_nc_ht=scontent-dfw5-1.xx&oh=00_AfD9CXSx1PcR4WSfMq8EeLv_r4YsZ5M11SLiXeqXax1WRQ&oe=64101C82']",https://www.facebook.com/marketplace/item/617154960225125/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:12:49,Sofas Usados an table,"Listed 21 minutes ago in Humble, TX",$150,"['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332753398_6025926857476454_7179985350079013212_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=eOvIIFcc6_gAX-SW0ds&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBTcPQczQcIH_Wc9zsi7hR00Vlm3-BqoYDQCpb_I9YhIg&oe=640E8B4D', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332992685_5687645398013304_3969004775046654432_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=Y_iDWS3vi4cAX8bnKJN&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCvZJ1iFKbJNNJLa6kbBtjHZ75PeTfRJV1mfGQGAcvsfA&oe=640F64F5', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333072639_6365988900077766_601219886559414207_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=c48759&_nc_ohc=gBlc03rSbUoAX-v_HLX&_nc_ht=scontent-dfw5-2.xx&oh=00_AfD5rN6L_HM24Yl1JGBdtX2Lpc6Z-GDkXB_YMJuGgxDa4g&oe=64103282']",https://www.facebook.com/marketplace/item/598533435622836/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:12:45,GLOBAL UNITED FURNITURE 411 GENUINE ITALIAN LEATHER 2PC SOFA SET IN CAMEL,"Listed 21 minutes ago in Houston, TX","$1,800","['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/334668961_5932507383511986_3157724798710497727_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=c48759&_nc_ohc=-zyA-kA-VLYAX8AvQdq&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDZwqkVT6Ghg2a3Lln-wCarldp48npNsuJ2Z_3dTFKpDg&oe=640FDF99', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333077439_5302291433206474_4272706112824638957_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=dx0pnoR6E2kAX_lcgiZ&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAYBXmwMzXBGB45nJJ9Tj3dZLAjXPwxgYp6V5OJpv9gDQ&oe=6410529A']",https://www.facebook.com/marketplace/item/986077696105717/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:12:42,Love Seat Couch,"Listed 19 minutes ago in Spring, TX",$400,"['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333765605_8958454120892063_1753637836993212096_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=no23HjFL0EsAX_UO3_Q&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCu2-jyUA1AlCUk3okqGfYs78jY_OJ6VgG245EKsYndEw&oe=640EB10C', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333098150_6668010056561018_299486180343329159_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=T1qbVm-JAW0AX-bJPfN&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCYANRdnwpthSEFJYgQNQhVr0zIFlrO0JMxzZJUILbPEw&oe=640F29DA']",https://www.facebook.com/marketplace/item/585328330176712/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:12:38,Ikea Sofa Bed,"Listed 11 minutes ago in Houston, TX",$150,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334071342_5189619557808079_2955356889083130559_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=NMK4x8cFKhEAX-iNvnK&_nc_ht=scontent-dfw5-1.xx&oh=00_AfD2L3o8JJf-9a799FVc5t00ZT-DnnELjqh97VVeKC-_KQ&oe=640F36B5', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333967516_8772524939489139_5794574515823871430_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=zZmyAJOcO9sAX9GeYBB&_nc_oc=AQkG47-vSGAu8W9Uo_gWc5aZMr7nMvTsB0VHiMvfMdDrMVydisCjlrbUabk3YWSC_Z8&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCGSKaed030s1PtgWNYajTc2ARN0qvjMqk-5psGhz7x6Q&oe=640FF87A']",https://www.facebook.com/marketplace/item/557668926342642/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:12:35,Recliner Sofa,"Listed 9 minutes ago in Dickinson, TX",$100,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333021978_5922868127792709_306526924924452904_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=A1ml_mPKJNQAX8mAn2u&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDeYPBMEHEG6-XkRw1IP3Kel-esJ-2KStReMIiG1138Hg&oe=640F12AD', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332886225_8980331358675143_7478578304231294169_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=SpWzQCBHWggAX_mr1iN&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBY0hJANYkgG8Q8hPUyqcG-sUsQJQcCMDR9Llot2e4d2g&oe=640F1C97', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332074518_6207652569289600_8832607293006788222_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_ohc=CRz1VZWQGpQAX9pNSvj&_nc_ht=scontent-dfw5-2.xx&oh=00_AfA3yAvSHBwM2bUa6ooWuyz7v9-VacsYfbDWZaEYWkdYuA&oe=640EF820', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332168003_5250493801720548_2273233196754642284_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=c48759&_nc_ohc=Sxz5UMKAIk0AX_rlhJ-&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDlkSTef6ClCZWmhdrUbfmLnUe93KYRRPsWhIeM060AVQ&oe=6410599E', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333250809_6014847005296729_328100681586311982_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_ohc=w_Dvl7e3LqsAX8I4u9p&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCAWcGtr-dypsg0ZMRjykrcqtteZWsfxo3zUik_sbwUyw&oe=640FD3C3']",https://www.facebook.com/marketplace/item/581287820575938/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
